"COLUMNNAME","COLUMNTITLE","COLUMNTYPE","MATCH","POSSIBLEVALUES","MAXLENGTH","GLOSS","FIELD","DEFAULT","DEFAULTIFMISSING","VALIDATE","UIMAFEATURE","UIMADESCRIPTION","COLUMNORDER","COLUMNWIDTH"
"COL1","ja-JP-Title","NormalForm","false","","30000","LemmaGloss","Lemma","1000","","notnull","","","1","100",
"POS1","Part of Speech","Keyword","false","19=19,140=140,141=141,146=146,142=142,144=144,145=145,23=23,24=24","255","FeatureSetGloss,JaMorphGloss,JaGramSetGloss","JAWordClass,Codes,Value","24","","","","","2","130",
